,year,make,model,final_price,mileage,engine,zipcode
0,1993,Land Rover,Land Rover 110 / Defender 110 (Euro Spec),"$59,500",0,2.5-Liter 200Tdi Turbodiesel Inline-Four,20895
1,1997,Chevrolet,Chevrolet Suburban,"$17,000",67000,5.7L Vortec V8,60069
2,1990,Porsche,Porsche 964 911,"$225,000",1000,3.8-Liter Flat-Six ,84790
3,2003,Toyota,Toyota Pickup,"$24,750",116000,3.4-Liter DOHC V6,90027
4,1971,Triumph,Triumph TR6,"$15,250",0,"32k Miles Shown, TMU",28724
5,1992,Volkswagen,Volkswagen Golf/Rabbit Cabriolet,"$10,750",100000,1.8-Liter Inline-Four,98208
6,2008,Toyota,Toyota FJ Cruiser,"$32,500",9000,4.0-Liter V6,57108
7,1978,Chevrolet,Chevrolet Pickup,"$33,000",95000,350ci V8,60175
8,2018,Dodge,Dodge Challenger,"$106,000",8000,Supercharged 6.2L Hemi V8,90265
9,1988,Mercedes-Benz,Mercedes-Benz Gelandewagen,"$35,000",0,2.4-Liter Diesel Inline-Four       ,33312
10,2001,Mercedes-Benz,Mercedes-Benz R129 SL,"$26,250",28000,5.0-Liter V8,7945
11,1962,Triumph,Triumph TR4,"$29,000",107000,"2,138cc Inline-Four",95030
12,2002,Pontiac,Pontiac Firebird,"$31,000",24000,5.7-liter LS1 V8,31315
13,1972,Ford,,"$9,100",9000,122ci Inline-Four ,26034
14,1970,Ford,Ford Bronco U13/U14/U15 1966-1977,"$85,500",0,302ci V8,48178
15,2008,Honda,Honda S2000,"$46,000",32000,2.2-Liter Inline-Four,97217
16,2008,Porsche,Porsche 996 911,"$8,600",0,Fiberglass Construction,1562
17,1975,Triumph,Triumph Motorcycles,"$9,133",17000,740cc Four-Stroke Triple,48230
18,1995,Porsche,Porsche 993 911,"$60,000",47000,3.6-Liter Flat-Six,43551
19,1978,Chevrolet,Chevrolet Corvette C3,"$11,501",83000,Replacement 355ci V8,15642
20,2001,Porsche,Porsche 986 Boxster,"$28,000",18000,3.2-Liter Flat-Six,7960
21,1966,Ford,Ford Mustang 1964.5-1966,"$20,500",76000,351ci Windsor V8,6074
22,1987,Chevrolet,Chevrolet Corvette C4,"$23,500",12000,5.7-Liter L98 V8,19382
